,time,open,high,low,close,volume,trades,start
76,1628186400000.0,19.297,19.304,19.02,19.188,606450.704,23048.0,2021-08-05 18:00:00
77,1628190000000.0,19.188,19.288,18.999,19.015,466447.202,15784.0,2021-08-05 19:00:00
78,1628193600000.0,19.014,19.252,19.013,19.197,333874.063,11733.0,2021-08-05 20:00:00
79,1628197200000.0,19.199,19.41,19.053,19.202,443973.545,45443.0,2021-08-05 21:00:00
80,1628200800000.0,19.202,19.245,19.062,19.124,291796.499,9159.0,2021-08-05 22:00:00
81,1628204400000.0,19.125,19.24,19.084,19.124,259097.57,8967.0,2021-08-05 23:00:00
82,1628208000000.0,19.124,19.224,18.67,18.746,740139.683,28980.0,2021-08-06 00:00:00
83,1628211600000.0,18.745,18.876,18.623,18.839,459460.333,17617.0,2021-08-06 01:00:00
84,1628215200000.0,18.833,18.849,18.522,18.637,395605.795,14915.0,2021-08-06 02:00:00
85,1628218800000.0,18.637,18.759,18.563,18.6,499523.12,13315.0,2021-08-06 03:00:00
86,1628222400000.0,18.6,18.71,18.532,18.706,296438.904,10719.0,2021-08-06 04:00:00
87,1628226000000.0,18.707,18.818,18.677,18.808,357269.894,26654.0,2021-08-06 05:00:00
88,1628229600000.0,18.808,19.099,18.772,18.966,508892.597,36453.0,2021-08-06 06:00:00
89,1628233200000.0,18.966,19.032,18.804,18.86,309047.467,10863.0,2021-08-06 07:00:00
90,1628236800000.0,18.857,19.085,18.73,19.035,488722.395,15503.0,2021-08-06 08:00:00
91,1628240400000.0,19.031,19.188,18.916,18.977,498462.695,41578.0,2021-08-06 09:00:00
92,1628244000000.0,18.974,19.065,18.857,18.998,322654.754,11517.0,2021-08-06 10:00:00
93,1628247600000.0,18.994,19.135,18.921,18.958,446342.007,12858.0,2021-08-06 11:00:00
94,1628251200000.0,18.956,19.898,18.812,19.801,1861224.53,97722.0,2021-08-06 12:00:00
95,1628254800000.0,19.8,20.2,19.595,19.71,2146007.521,137380.0,2021-08-06 13:00:00
96,1628258400000.0,19.709,19.8,19.613,19.729,651295.974,17087.0,2021-08-06 14:00:00
97,1628262000000.0,19.729,20.09,19.69,20.076,1262794.773,35212.0,2021-08-06 15:00:00
98,1628265600000.0,20.079,20.649,20.071,20.334,1945222.168,89137.0,2021-08-06 16:00:00
99,1628269200000.0,20.336,20.768,20.322,20.741,911429.125,36595.0,2021-08-06 17:00:00
100,1628272800000.0,20.741,20.8,20.401,20.47,663916.528,23903.0,2021-08-06 18:00:00
101,1628276400000.0,20.472,20.785,20.47,20.62,665414.693,66649.0,2021-08-06 19:00:00
102,1628280000000.0,20.622,20.712,20.297,20.416,641035.333,56951.0,2021-08-06 20:00:00
103,1628283600000.0,20.416,20.547,20.26,20.261,481974.729,82394.0,2021-08-06 21:00:00
104,1628287200000.0,20.261,20.56,20.12,20.5,643713.036,69663.0,2021-08-06 22:00:00
105,1628290800000.0,20.501,20.51,20.259,20.416,264746.438,12665.0,2021-08-06 23:00:00
106,1628294400000.0,20.417,20.628,20.19,20.622,586779.268,20180.0,2021-08-07 00:00:00
107,1628298000000.0,20.623,20.625,20.255,20.341,574768.822,54125.0,2021-08-07 01:00:00
108,1628301600000.0,20.338,20.871,20.299,20.801,741687.346,72352.0,2021-08-07 02:00:00
109,1628305200000.0,20.8,20.968,20.633,20.865,662777.807,36889.0,2021-08-07 03:00:00
110,1628308800000.0,20.866,21.395,20.823,20.927,1151704.648,67060.0,2021-08-07 04:00:00
111,1628312400000.0,20.926,21.156,20.853,21.083,569965.23,39730.0,2021-08-07 05:00:00
112,1628316000000.0,21.083,21.128,20.708,20.854,538181.063,24172.0,2021-08-07 06:00:00
113,1628319600000.0,20.854,20.986,20.751,20.849,345021.113,14428.0,2021-08-07 07:00:00
114,1628323200000.0,20.85,20.954,20.712,20.948,387050.314,12399.0,2021-08-07 08:00:00
115,1628326800000.0,20.947,21.273,20.858,21.217,780478.187,33603.0,2021-08-07 09:00:00
116,1628330400000.0,21.218,21.532,21.198,21.388,928983.02,60602.0,2021-08-07 10:00:00
117,1628334000000.0,21.386,21.386,21.167,21.335,555161.653,50801.0,2021-08-07 11:00:00
118,1628337600000.0,21.333,21.683,20.729,20.921,1635586.429,74817.0,2021-08-07 12:00:00
119,1628341200000.0,20.918,21.095,20.554,20.575,1213544.265,62927.0,2021-08-07 13:00:00
120,1628344800000.0,20.575,20.999,20.573,20.913,621716.059,59917.0,2021-08-07 14:00:00
121,1628348400000.0,20.915,21.0,20.66,20.686,521788.965,22680.0,2021-08-07 15:00:00
122,1628352000000.0,20.685,20.718,20.025,20.691,1448741.87,109725.0,2021-08-07 16:00:00
123,1628355600000.0,20.69,20.707,20.206,20.301,586912.322,34059.0,2021-08-07 17:00:00
124,1628359200000.0,20.3,20.514,20.155,20.401,343459.903,28635.0,2021-08-07 18:00:00
125,1628362800000.0,20.402,20.497,20.2,20.417,349338.191,55074.0,2021-08-07 19:00:00
126,1628366400000.0,20.417,20.697,20.321,20.617,408272.845,15860.0,2021-08-07 20:00:00
127,1628370000000.0,20.62,20.851,20.351,20.415,504906.176,93579.0,2021-08-07 21:00:00
128,1628373600000.0,20.418,20.762,20.407,20.597,395202.851,14391.0,2021-08-07 22:00:00
129,1628377200000.0,20.603,21.06,20.603,20.963,534879.483,23120.0,2021-08-07 23:00:00
130,1628380800000.0,20.963,21.205,20.74,20.893,859114.857,83466.0,2021-08-08 00:00:00
131,1628384400000.0,20.889,20.922,20.326,20.417,643895.829,30269.0,2021-08-08 01:00:00
132,1628388000000.0,20.418,20.438,20.201,20.362,475809.363,22463.0,2021-08-08 02:00:00
133,1628391600000.0,20.366,20.617,20.33,20.54,326854.979,18594.0,2021-08-08 03:00:00
134,1628395200000.0,20.545,20.658,20.305,20.392,411325.512,27139.0,2021-08-08 04:00:00
135,1628398800000.0,20.392,20.63,20.308,20.571,404216.493,33792.0,2021-08-08 05:00:00
136,1628402400000.0,20.574,21.147,20.574,20.966,858730.534,44965.0,2021-08-08 06:00:00
137,1628406000000.0,20.969,20.989,20.596,20.629,513319.457,29622.0,2021-08-08 07:00:00
138,1628409600000.0,20.635,20.811,20.436,20.465,469568.764,16308.0,2021-08-08 08:00:00
139,1628413200000.0,20.462,20.811,20.429,20.639,388673.157,12925.0,2021-08-08 09:00:00
140,1628416800000.0,20.639,20.732,20.294,20.387,485440.156,17353.0,2021-08-08 10:00:00
141,1628420400000.0,20.389,20.622,20.331,20.426,316300.889,12113.0,2021-08-08 11:00:00
142,1628424000000.0,20.425,20.73,20.39,20.691,375337.508,13120.0,2021-08-08 12:00:00
143,1628427600000.0,20.689,20.777,20.485,20.594,304129.41,12731.0,2021-08-08 13:00:00
144,1628431200000.0,20.594,20.642,20.08,20.1,624185.183,24080.0,2021-08-08 14:00:00
145,1628434800000.0,20.101,20.23,19.85,19.984,765910.876,26878.0,2021-08-08 15:00:00
146,1628438400000.0,19.983,20.117,19.55,19.606,690197.504,26879.0,2021-08-08 16:00:00
147,1628442000000.0,19.608,19.74,19.286,19.525,677230.621,26156.0,2021-08-08 17:00:00
